country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","26-03-2026 08:00:00",28.3419248,77.319699,OZONE,1,1,1
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","26-03-2026 08:00:00",28.593883,76.270653,PM2.5,43,303,177
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","26-03-2026 08:00:00",28.593883,76.270653,NO2,9,23,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","26-03-2026 08:00:00",28.206800,76.799700,PM10,51,177,102
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","26-03-2026 08:00:00",28.206800,76.799700,NO2,15,51,38
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","26-03-2026 08:00:00",28.39072,77.30059,PM2.5,184,202,192
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","26-03-2026 08:00:00",28.39072,77.30059,PM10,130,136,133
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","26-03-2026 08:00:00",28.376058,77.315741,PM10,58,453,220
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","26-03-2026 08:00:00",28.376058,77.315741,SO2,3,100,12
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","26-03-2026 08:00:00",28.376058,77.315741,CO,39,40,40
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","26-03-2026 08:00:00",28.376058,77.315741,OZONE,14,16,15
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","26-03-2026 08:00:00",28.4417,77.3217,PM10,115,121,117
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","26-03-2026 08:00:00",28.4417,77.3217,NO2,36,38,37
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-03-2026 08:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-03-2026 08:00:00",29.503664,75.467934,CO,26,35,27
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","26-03-2026 08:00:00",23.221714,72.654328,CO,18,32,24
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","26-03-2026 08:00:00",22.410802,73.097923,PM2.5,53,446,137
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","26-03-2026 08:00:00",22.248853,70.776774,NO2,7,27,14
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","26-03-2026 08:00:00","21.217779 ","72.834787 ",NH3,1,2,2
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","26-03-2026 08:00:00",22.320153,73.216285,OZONE,2,10,2
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-03-2026 08:00:00",20.362421,72.918013,PM10,49,113,68
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-03-2026 08:00:00",20.362421,72.918013,OZONE,6,26,6
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","26-03-2026 08:00:00",22.969611,72.643500,PM10,48,452,152
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","26-03-2026 08:00:00",29.695300,77.002700,PM10,15,111,55
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","26-03-2026 08:00:00",29.966942,76.875879,PM2.5,57,146,87
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","26-03-2026 08:00:00",29.966942,76.875879,PM10,86,132,106
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","26-03-2026 08:00:00",29.966942,76.875879,CO,2,28,19
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","26-03-2026 08:00:00",27.9002,76.9938,PM2.5,47,223,98
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","26-03-2026 08:00:00",28.3419248,77.319699,PM10,135,401,229
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","26-03-2026 08:00:00",28.6701,76.9254,PM10,2,431,125
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","26-03-2026 08:00:00",34.066206,74.819820,CO,4,24,12
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-03-2026 08:00:00",23.80569,86.44268,PM10,52,181,113
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-03-2026 08:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-03-2026 08:00:00",23.80569,86.44268,OZONE,1,42,1
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","26-03-2026 08:00:00",16.172806,75.659694,PM10,23,47,45
